Название региона;Общая площадь дома, кв.м;Наибольшее количество этажей;Год ввода в эксплуатацию;Последнее изменение анкеты;Дата начала  обслуживания дома;Количество этажей:наибольшее, ед.;Количество этажей:наименьшее, ед.;Количество помещений, в том числе:;Количество помещений, в том числе:жилых, ед.;Количество помещений, в том числе:нежилых, ед.;Общая площадь дома, в том числе, кв.м:;Общая площадь дома, в том числе, кв.м:общая площадь жилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь нежилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь помещений, входящих в состав общего имущества, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь земельного участка, входящего в состав общего имущества в многоквартирном доме, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь парковки в границах земельного участка, кв.м;Элементы благоустройства:детская площадка;Элементы благоустройства:спортивная площадка;Элементы благоустройства:другое;Год постройки;Год ввода дома в эксплуатацию;Серия, тип постройки здания;Тип дома;Способ формирования фонда капитального ремонта;Дом признан аварийным;Количество подъездов, ед.;Количество лифтов, ед.;Класс энергетической эффективности;Дополнительная информация;Кадастровый номер;Анкета дома;Ссылки
Власиха (ЗАТО);1 522.00;4;1960;21.12.2015 в 12:36;01.07.2015;4;4;Не заполнено;Не заполнено;Не заполнено;1 522.00;1 263.40;258.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1960;1960;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Лесная, д. 32, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063933/
Власиха (ЗАТО);471.40;2;1972;21.12.2015 в 12:36;01.07.2015;2;2;Не заполнено;Не заполнено;Не заполнено;471.40;443.40;28.00;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1972;1972;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Лесная, д. 33, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063934/
Власиха (ЗАТО);23 258.10;Не заполнено;2008;21.12.2015 в 12:36;01.07.2015;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;23 258.10;16 126.20;7 131.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;8;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Лесная, д. 34, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063935/
Власиха (ЗАТО);2 326.00;4;1980;09.06.2016 в 11:05;03.08.2015;4;4;64;64;0;2 326.00;1 323.00;0.00;0.00;1 081.50;0.00;Не имеется;Не имеется;-;1980;1980;кирпичный;Многоквартирный дом;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Лесная, д. 38;https://www.reformagkh.ru/myhouse/profile/view/8322115/
Власиха (ЗАТО);1 987.00;3;1962;09.06.2016 в 15:03;03.08.2015;3;3;63;63;0;1 987.00;981.10;0.00;0.00;862.33;0.00;Не имеется;Не имеется;-;1962;1962;кирпичный;Многоквартирный дом;Не определен;Нет;2;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Лесная, д. 39;https://www.reformagkh.ru/myhouse/profile/view/8254179/
Власиха (ЗАТО);1 534.00;3;1961;09.06.2016 в 15:22;03.08.2015;3;3;40;40;0;1 534.00;841.00;0.00;0.00;711.33;0.00;Не имеется;Не имеется;-;1961;1961;кирпичный;Многоквартирный дом;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Лесная, д. 40;https://www.reformagkh.ru/myhouse/profile/view/8254172/
Власиха (ЗАТО);866.00;2;1978;09.06.2016 в 15:45;03.08.2015;2;2;40;40;0;866.00;494.00;0.00;0.00;633.15;0.00;Не имеется;Не имеется;-;1978;1978;кирпичный;Многоквартирный дом;Не определен;Нет;2;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Лесная, д. 41;https://www.reformagkh.ru/myhouse/profile/view/8254198/
Власиха (ЗАТО);3 810.00;3;1961;09.06.2016 в 15:51;03.08.2015;3;3;41;41;0;3 810.00;585.00;0.00;0.00;1 770.00;0.00;Не имеется;Не имеется;-;1961;1961;кирпичный;Многоквартирный дом;Не определен;Нет;2;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Лесная, д. 42;https://www.reformagkh.ru/myhouse/profile/view/8254206/
Власиха (ЗАТО);1 561.00;7;1977;09.06.2016 в 16:01;03.08.2015;7;7;30;30;0;1 561.00;3 869.29;0.00;0.00;1 849.68;0.00;Не имеется;Не имеется;-;1977;1977;кирпичный;Многоквартирный дом;Не определен;Нет;1;1;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 1;https://www.reformagkh.ru/myhouse/profile/view/8254209/
Власиха (ЗАТО);8 420.00;3;1963;09.06.2016 в 16:12;03.08.2015;3;3;96;96;0;8 420.00;1 199.00;0.00;0.00;3 006.66;0.00;Не имеется;Не имеется;-;1963;1963;кирпичный;Многоквартирный дом;Не определен;Нет;1;0;Не присвоен;-;50:20:0040201:0002;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 2;https://www.reformagkh.ru/myhouse/profile/view/8254205/
