paste.UND2...9...ID..sep.......;X|Y|ID
"""Россия, Самара, Первая линия, метро Алабинская"",13946";30.315886|60.016721|60021
"""Россия, Самара, Первая линия, метро Безымянка"",210602";37.660045|55.75859|142666
"""Россия, Самара, Первая линия, метро Гагаринская"",151188";37.563646|55.787427|224546
"""Россия, Самара, Первая линия, метро Кировская"",50349";37.543219|55.545406|222471
"""Россия, Самара, Первая линия, метро Московская"",199948";37.586212|55.777155|162043
"""Россия, Самара, Первая линия, метро Победа"",191468";30.35516|59.920745|102889
"""Россия, Самара, Первая линия, метро Российская"",189174";37.575594|55.83664|67213
"""Россия, Самара, Первая линия, метро Советская"",217823";37.540075|55.656682|115463
"""Россия, Самара, Первая линия, метро Спортивная"",28604";30.383421|59.923563|208213
"""Россия, Самара, Первая линия, метро Юнгородок"",198328";43.889888|56.252662|126126
"""Россия, Новосибирск, Дзержинская линия, метро Березовая роща"",223582";37.472171|55.729828|119442
"""Россия, Новосибирск, Ленинская линия, метро Гагаринская"",58818";30.320458|59.926972|136855
"""Россия, Новосибирск, Ленинская линия, метро Заельцовская"",16701";82.92051|55.029946|203933
"""Россия, Новосибирск, Дзержинская линия, метро Золотая Нива"",88577";37.515919|55.537964|239119
"""Россия, Новосибирск, Ленинская линия, метро Красный Проспект"",231476";37.382034|55.835508|140065
"""Россия, Новосибирск, Дзержинская линия, метро Маршала Покрышкина"",166189";37.437586|55.827034|182637
"""Россия, Новосибирск, Ленинская линия, метро Октябрьская"",210386";37.5334|55.606182|226011
"""Россия, Новосибирск, Дзержинская линия, метро Площадь Гарина-Михайловского"",85262";30.355987|59.955719|142883
"""Россия, Новосибирск, Ленинская линия, метро Площадь Ленина"",203933";49.082905|55.827843|117594
"""Россия, Новосибирск, Ленинская линия, метро Площадь Маркса"",163734";37.601421|55.779565|42447
"""Россия, Новосибирск, Ленинская линия, метро Речной Вокзал"",75765";37.590282|55.847922|221585
"""Россия, Новосибирск, Дзержинская линия, метро Сибирская"",98995";82.935539|55.043768|166189
"""Россия, Новосибирск, Ленинская линия, метро Студенческая"",209709";60.599846|56.836298|151118
"""Россия, Нижний Новгород, Автозаводская линия, метро Автозаводская"",190787";37.753344|55.690765|77755
"""Россия, Нижний Новгород, Сормовская линия, метро Буревестник"",27404";30.318779|59.9166|119439
"""Россия, Нижний Новгород, Сормовская линия, метро Бурнаковская"",193875";37.580328|55.727232|138537
"""Россия, Нижний Новгород, Автозаводская линия, метро Горьковская"",152216";43.911897|56.325704|193875
"""Россия, Нижний Новгород, Автозаводская линия, метро Двигатель Революции"",198455";37.657008|55.706629|141887
"""Россия, Нижний Новгород, Автозаводская линия, метро Заречная"",185796";37.680949|55.747069|150040
"""Россия, Нижний Новгород, Сормовская линия, метро Канавинская"",79297";30.315203|59.935831|95097
"""Россия, Нижний Новгород, Автозаводская линия, метро Кировская"",153235";37.798556|55.810228|39257
"""Россия, Нижний Новгород, Автозаводская линия, метро Комсомольская"",126126";49.191853|55.759937|52446
"""Россия, Нижний Новгород, Автозаводская линия, метро Ленинская"",146981";49.081998|55.841892|36089
"""Россия, Нижний Новгород, Автозаводская линия, метро Московская"",22642";37.615309|55.756533|162391
"""Россия, Нижний Новгород, Автозаводская линия, метро Московская"",21171";37.609254|55.750454|160783
"""Россия, Нижний Новгород, Автозаводская линия, метро Парк Культуры"",51486";37.542671|55.748843|218876
"""Россия, Нижний Новгород, Автозаводская линия, метро Пролетарская"",214411";37.608167|55.765843|135204
"""Россия, Нижний Новгород, Автозаводская линия, метро Чкаловская"",34096";37.633877|55.75436|84296
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Ботаническая"",188234";30.347345|59.971024|31540
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Геологическая"",156665";82.919298|55.042323|98995
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Динамо"",125700";37.57731|55.581968|130420
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Машиностроителей"",221590";37.540075|55.656682|152467
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Площадь 1905 года"",151118";37.616162|55.793718|177865
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Проспект Космонавтов"",149141";37.403118|55.803691|130322
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Уралмаш"",113335";37.559317|55.710438|34871
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Уральская"",12689";50.282713|53.212501|198328
"""Россия, Свердловская область, Екатеринбург, Первая линия, метро Чкаловская"",166355";37.493317|55.793581|185505
