paste.UND2...9...ID..sep.......;X|Y|ID
"""Россия, Москва, Кольцевая линия, метро Комсомольская"",233425";49.084495|55.855851|81587
"""Россия, Москва, Калужско-Рижская линия, метро Коньково"",43038";37.636015|55.76643|196395
"""Россия, Москва, Таганско-Краснопресненская линия, метро Котельники"",55428";49.124731|55.786111|230723
"""Россия, Москва, Замоскворецкая линия, метро Красногвардейская"",161091";37.654879|55.775575|113964
"""Россия, Москва, Кольцевая линия, метро Краснопресненская"",61582";37.384747|55.82399|109330
"""Россия, Москва, Сокольническая линия, метро Красносельская"",110729";50.236099|53.207135|191468
"""Россия, Москва, Сокольническая линия, метро Красные Ворота"",127593";37.656218|55.636107|107730
"""Россия, Москва, Люблинско-Дмитровская линия, метро Крестьянская Застава"",20836";60.614165|56.887674|113335
"""Россия, Москва, Сокольническая линия, метро Кропоткинская"",23602";37.765678|55.63349|38733
"""Россия, Москва, Арбатско-Покровская линия, метро Крылатское"",78546";43.876719|56.247426|153235
"""Россия, Москва, Таганско-Краснопресненская линия, метро Кузнецкий Мост"",226713";30.349321|59.833154|131932
"""Россия, Москва, Таганско-Краснопресненская линия, метро Кузьминки"",214240";37.622774|55.756756|156096
"""Россия, Москва, Филёвская линия, метро Кунцевская"",208751";37.750451|55.659404|40895
"""Россия, Москва, Филёвская линия, метро Кунцевская"",150989";37.531226|55.541825|157613
"""Россия, Москва, Кольцевая линия, метро Курская"",142666";50.159958|53.203403|199948
"""Россия, Москва, Кольцевая линия, метро Курская"",92386";37.746346|55.613738|161091
"""Россия, Москва, Филёвская линия, метро Кутузовская"",114001";43.947273|56.321142|21171
"""Россия, Москва, Калужско-Рижская линия, метро Ленинский проспект"",109881";37.627355|55.759162|88684
"""Россия, Москва, Таганско-Краснопресненская линия, метро Лермонтовский проспект"",48361";82.912488|55.05941|16701
"""Россия, Москва, Бутовская линия, метро Лесопарковая"",130420";37.490757|55.693211|179419
"""Россия, Москва, Ломоносовский проспект"",242789";37.619522|55.653294|51128
"""Россия, Москва, Сокольническая линия, метро Лубянка"",88684";37.817169|55.75166|105564
"""Россия, Москва, Люблинско-Дмитровская линия, метро Люблино"",226789";37.580831|55.807881|125165
"""Россия, Москва, Калининская линия, метро Марксистская"",152044";37.633482|55.781757|180738
"""Россия, Москва, Люблинско-Дмитровская линия, метро Марьина Роща"",177865";37.577211|55.760211|61582
"""Россия, Москва, Люблинско-Дмитровская линия, метро Марьино"",21722";37.516925|55.736164|56946
"""Россия, Москва, Замоскворецкая линия, метро Маяковская"",242522";82.917294|55.041601|231476
"""Россия, Москва, Калужско-Рижская линия, метро Медведково"",126517";37.799436|55.794376|35227
"""Россия, Москва, Филёвская линия, метро Международная"",166759";37.439787|55.85051|43711
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Менделеевская"",132073";37.715022|55.796167|170084
"""Россия, Москва, Арбатско-Покровская линия, метро Митино"",31911";37.596812|55.583657|88316
"""Россия, Москва, Мичуринский проспект"",179419";50.176613|53.200291|151188
"""Россия, Москва, Арбатско-Покровская линия, метро Молодёжная"",106611";43.936933|56.310637|34096
